ID_TRC,PROPRIETAIRE_REF,CODE_ARR,FORME,RUELLE_ID,DATE_AMENAGEMENT,DATE_BONIFICATION,CIRCULATION,TYPE_AMENAGEMENT,TYPE_RECOUVREMENT,SUPERFICIE_RUELLE_M2,SUPERFICIE_VERDISSEMENT_M2,NUMERO_DE_RESOLUTION,DATE_MAJ
406166,"Rosemont - La Petite-Patrie","RPP","I","RPP-I-1000035","20130701",,"Ouverte","Plates-bandes et mobilier","Asphalté ou bétonnée",1883.124,,,"20191202"
406221,"Sud-Ouest","SO","A","SO-A-1003003","20140701",,"Ouverte","Plates-bandes et mobilier","Asphalté ou bétonnée",46.449,,,"20191021"
406222,"Sud-Ouest","SO","A","SO-A-1003002","20140701",,"Fermée","Plates-bandes et mobilier","Asphalté ou bétonnée",46.783,,,"20191021"
405683,"Verdun","VRD","H","VRD-H-1020162","20160528",,"Ouverte","Plates-bandes","Asphalté ou bétonnée",104.643,,,"20201126"
406581,"Sud-Ouest","SO","I","SO-I-1002003","20150701",20170701,"Ouverte","Plates-bandes et mobilier","Mixte",252.979,,,"20191104"
405672,"Sud-Ouest","SO","H","SO-H-1004018","20200701",,"Fermée","Plates-bandes","Végétalisée",120.561,"7",,"20201218"
405673,"Sud-Ouest","SO","H","SO-H-1004017","20190701",,"Ouverte",,"Asphalté ou bétonnée",120.866,"0",,"20201218"
400810,"Mercier - Hochelaga-Maisonneuve","MHM","A","MHM-A-1000037",,,"Ouverte",,"Asphalté ou bétonnée",87.12,"0",,"20191112"
401133,"Mercier - Hochelaga-Maisonneuve","MHM","A","MHM-A-1000013",,,"Ouverte",,"Asphalté ou bétonnée",141.082,"0",,"20191111"
403227,"Rosemont - La Petite-Patrie","RPP","T","RPP-T-1000063","20150701",,"Partiellement fermée","Plates-bandes et mobilier","Asphalté ou bétonnée",302.541,,,"20191127"
402340,"Rosemont - La Petite-Patrie","RPP","H","RPP-H-1000104","20180701",,"Ouverte","Plates-bandes et mobilier","Asphalté ou bétonnée",1072.024,,,"20191129"
400095,"Ahuntsic - Cartierville","AC","T","AC-T-1000001","20181027",,"Ouverte",,"Asphalté ou bétonnée",152.096,"0",,"20201118"
400002,"Ahuntsic - Cartierville","AC","T","AC-T-1000001","20181027",,"Ouverte",,"Asphalté ou bétonnée",153.153,"0",,"20201118"
402495,"Rosemont - La Petite-Patrie","RPP","H","RPP-H-1000097","20170701",,"Partiellement fermée","Plates-bandes et mobilier","Mixte",119.799,,,"20191128"
402496,"Rosemont - La Petite-Patrie","RPP","H","RPP-H-1000013","20110701",,"Ouverte","Plates-bandes et mobilier","Asphalté ou bétonnée",119.931,,,"20191129"
403208,"Rosemont - La Petite-Patrie","RPP","T","RPP-T-1000028","20120701",,"Ouverte","Mobilier","Asphalté ou bétonnée",141.234,,,"20191206"
403209,"Rosemont - La Petite-Patrie","RPP","J","RPP-J-1000002","20100701",,"Ouverte","Plates-bandes et mobilier","Asphalté ou bétonnée",141.444,,,"20191021"
402875,"Rosemont - La Petite-Patrie","RPP","H","RPP-H-1000040","20190701",,"Ouverte","Plates-bandes et mobilier","Asphalté ou bétonnée",183.754,,,"20191202"
402584,"Rosemont - La Petite-Patrie","RPP","T","RPP-T-1000004","20110701",,"Partiellement fermée","Plates-bandes et mobilier","Mixte",533.055,,,"20191115"
402598,"Rosemont - La Petite-Patrie","RPP","T","RPP-T-1000049","20140701",,"Partiellement fermée","Plates-bandes et mobilier","Asphalté ou bétonnée",560.351,,,"20191126"
402659,"Rosemont - La Petite-Patrie","RPP","H","RPP-H-1000068","20150701",,"Ouverte","Plates-bandes et mobilier","Asphalté ou bétonnée",562.006,,,"20191127"
400867,"Mercier - Hochelaga-Maisonneuve","MHM","A","MHM-A-1000037","20170701",,"Ouverte","Plates-bandes","Asphalté ou bétonnée",113.536,"5.68",,"20191112"
406546,"Sud-Ouest","SO","A","SO-A-1004002","20170701",,"Fermée","Mobilier et marquage au sol","Asphalté ou bétonnée",110.974,,,"20191104"
406560,"Sud-Ouest","SO","H","SO-H-1004019","20200701",,"Ouverte",,"Asphalté ou bétonnée",112.98,"0",,"20201218"
406564,"Sud-Ouest","SO","H","SO-H-1004018","20200701",,"Ouverte",,"Asphalté ou bétonnée",113.462,"0",,"20201218"
405405,"Villeray - St-Michel - Parc-Extension","VSMPE","I","VSMPE-I-1300013","20180701",,"Ouverte",,,1124.794,,,"20191028"
403379,"Plateau - Mont-Royal","PMR","H","PMR-H-1000038","20110801",,"Ouverte","Plates-bandes","Asphalté ou bétonnée",434.816,,,"20191114"
400011,"Ahuntsic - Cartierville","AC","T","AC-T-1000001","20181027",,"Ouverte",,"Gravier",161.584,"0",,"20201118"
403273,"Rosemont - La Petite-Patrie","RPP","T","RPP-T-1000079","20160701",,"Ouverte","Plates-bandes et mobilier","Asphalté ou bétonnée",143.26,,,"20191127"
403276,"Rosemont - La Petite-Patrie","RPP","H","RPP-H-1000070","20150701",,"Fermée","Plates-bandes et mobilier","Asphalté ou bétonnée",143.547,,,"20191206"
